region,Export/Import,year,euros
USA,E,2020,12196099228
USA,E,2019,13715949598
USA,E,2018,12786753177
USA,E,2017,12468065710
USA,E,2016,11371260498
USA,E,2015,11504153464
USA,E,2014,10657468408
USA,E,2013,8762040391
USA,E,2012,9020261812
USA,E,2011,7913715676
USA,E,2010,6592464709
USA,E,2009,5705873904
USA,E,2008,7544367758
USA,E,2007,7441649942
USA,E,2006,7525672193
USA,E,2005,6392601538
USA,E,2004,5801984390
USA,E,2003,5689341774
USA,E,2002,5787512946
USA,E,2001,5651555560
USA,E,2000,6051667708
USA,E,1999,4598667704
USA,E,1998,4187146387
USA,E,1997,4086222879
USA,E,1996,3262752606
USA,E,1995,2875339452
USA,I,2020,14051802232
USA,I,2019,15436441302
USA,I,2018,13173708992
USA,I,2017,13565495896
USA,I,2016,12949029428
USA,I,2015,12827504969
USA,I,2014,10384386270
USA,I,2013,10337302494
USA,I,2012,9877940575
USA,I,2011,10869330663
USA,I,2010,9650476567
USA,I,2009,8461136138
USA,I,2008,11283158371
USA,I,2007,9996495669
USA,I,2006,8587397199
USA,I,2005,7484477819
USA,I,2004,7494142339
USA,I,2003,6859337266
USA,I,2002,7203194775
USA,I,2001,7870869688
USA,I,2000,8758315132
USA,I,1999,7653730999
USA,I,1998,7025842955
USA,I,1997,6849457293
USA,I,1996,5928163378
USA,I,1995,5536887942
world,E,2020,2.61175E+11
world,E,2019,2.90893E+11
world,E,2018,2.85261E+11
world,E,2017,2.76143E+11
world,E,2016,2.56393E+11
world,E,2015,2.49794E+11
world,E,2014,2.40582E+11
world,E,2013,2.35814E+11
world,E,2012,2.26115E+11
world,E,2011,2.1523E+11
world,E,2010,1.8678E+11
world,E,2009,1.5989E+11
world,E,2008,1.89228E+11
world,E,2007,1.85023E+11
world,E,2006,1.70439E+11
world,E,2005,1.55005E+11
world,E,2004,1.46925E+11
world,E,2003,1.38119E+11
world,E,2002,1.33268E+11
world,E,2001,1.29771E+11
world,E,2000,1.24177E+11
world,E,1999,1.04789E+11
world,E,1998,99849457802
world,E,1997,93419368360
world,E,1996,78212098677
world,E,1995,69962210889
world,I,2020,2.74598E+11
world,I,2019,3.22437E+11
world,I,2018,3.19647E+11
world,I,2017,3.02431E+11
world,I,2016,2.73779E+11
world,I,2015,2.74772E+11
world,I,2014,2.65557E+11
world,I,2013,2.52347E+11
world,I,2012,2.57946E+11
world,I,2011,2.63141E+11
world,I,2010,2.40056E+11
world,I,2009,2.06116E+11
world,I,2008,2.83388E+11
world,I,2007,2.85038E+11
world,I,2006,2.62687E+11
world,I,2005,2.32954E+11
world,I,2004,2.08411E+11
world,I,2003,1.85114E+11
world,I,2002,1.75268E+11
world,I,2001,1.7321E+11
world,I,2000,1.69468E+11
world,I,1999,1.39094E+11
world,I,1998,1.22856E+11
world,I,1997,1.09469E+11
world,I,1996,94179479718
world,I,1995,87142299550
